#Latin name	Filename (NCBI Taxonomy ID)
Aedes albopictus densovirus	35338
Aedes polynesiensis	188700
Aedes pseudoscutellaris	316597
Aedes pseudoscutellaris reovirus	341721
Aedes taeniorhynchus iridescent virus	386586
Aegiceras corniculatum	59970
Aegilops bicornis	4483
Aegilops biuncialis	130455
Aegilops columnaris	4493
Aegilops comosa	4485
Aegilops crassa	4481
Aegilops cylindrica	130456
Aegilops geniculata	130459
Aegilops juvenalis	130457
Aegilops kotschyi	130458
Aegilops longissima	4486
Aegilops longissima subsp. TA 1921	296027
Aegilops longissima subsp. longissima	296026
Aegilops markgrafii	4494
Aegilops neglecta	130460
Aegilops peregrina	130461
Aegilops searsii	4487
Aegilops sharonensis	58530
Aegilops speltoides	4573
Aegilops speltoides subsp. speltoides	58531
Aegilops speltoides var. ligustica	58532
Aegilops tauschii	37682
Aegilops tauschii subsp. strangulata	200361
Aegilops tauschii subsp. tauschii	169297
Aegilops tauschii var. anathera	296028
Aegilops tauschii var. meyeri	70077
Aegilops tauschii x Triticum turgidum	285950
Aegilops triuncialis	39391
Aegilops umbellulata	4491
Aegilops uniaristata	4492
Aegilops vavilovii	130462
Aegilops ventricosa	116981
Aeluropus littoralis	110874
Aepyceros melampus	9897
Aepyprymnus rufescens	38598
Aequorea coerulescens	210840
Aequorea macrodactyla	147615
Aequorea parva	148610
Aequorea victoria	6100
Aerococcus viridans	1377
Aeromicrobium erythreum	31956
Aeromonas allosaccharophila	656
Aeromonas bestiarum	105751
Aeromonas encheleia	73010
Aeromonas enteropelogenes	29489
Aeromonas eucrenophila	649
Aeromonas hydrophila	644
Aeromonas hydrophila subsp. decolorationis	290208
Aeromonas hydrophila subsp. hydrophila	196023
Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703
Aeromonas jandaei	650
Aeromonas media	651
Aeromonas phage 25	233894
Aeromonas phage 31	321023
Aeromonas phage 44RR2.8t	115987
Aeromonas phage 65	260149
Aeromonas phage Aeh1	227470
Aeromonas popoffii	70856
Aeromonas punctata	648
Aeromonas punctata subsp. punctata	84641
Aeromonas salmonicida	645
Aeromonas salmonicida subsp. achromogenes	113288
Aeromonas salmonicida subsp. masoucida	197700
Aeromonas salmonicida subsp. salmonicida	29491
Aeromonas salmonicida subsp. salmonicida A449	382245
Aeromonas schubertii	652
Aeromonas sobria	646
Aeromonas sp. 'CDC 2478-85'	57186
Aeromonas sp. 10S-24	77207
Aeromonas sp. 11m	312713
Aeromonas sp. 12m	312714
Aeromonas sp. 13m	312715
Aeromonas sp. 15m	312716
Aeromonas sp. 17m	312717
Aeromonas sp. 19m	312718
Aeromonas sp. 1m	312712
Aeromonas sp. 26m	312719
Aeromonas sp. A1-Manipal	329129
Aeromonas sp. ABJ	310404
Aeromonas sp. AE-51	312707
Aeromonas sp. AN-24	312708
Aeromonas sp. AN-30	312709
Aeromonas sp. AN-46	312710
Aeromonas sp. CB101	450357
Aeromonas sp. CCRC 13880	329139
Aeromonas sp. CCRC 13881	329140
Aeromonas sp. CCRC 13980	329135
Aeromonas sp. Manipal A1	310405
Aeromonas sp. QM 21725	310403
Aeromonas sp. QM 70363	312711
Aeromonas sp. RK 217215	329130
Aeromonas sp. SF6-7	329136
Aeromonas sp. SF8-170	329132
Aeromonas sp. ym1	329133
Aeromonas sp. ym2	329137
Aeromonas sp. ym3	329138
Aeromonas sp. ym4	329134
Aeromonas veronii	654
Aeromonas veronii bv. sobria	114517
Aeropyrum pernix	56636
Aeropyrum pernix K1	272557
Aethionema grandiflorum	72657
Aethusa cynapium	40954
Afipia birgiae	151414
Afipia broomeae	56946
Afipia clevelandensis	1034
Afipia felis	1035
Afipia felis genospecies A	168932
Afipia genosp. 2	56977
Afipia genosp. 3	56978
Afipia massiliensis	211460
Afipia sp. B-91-007287	235066
Afipia sp. SP17	290206
Afipia sp. SP3302452	290207
African cassava mosaic virus	10817
African cassava mosaic virus - [Nigeria]	222073
African cassava mosaic virus-Uganda Mild	222076
African cassava mosaic virus-Uganda Severe	222077
African cassava mosaic virus-[Cameroon-DO2]	222061
African cassava mosaic virus-[Cameroon]	222064
African cassava mosaic virus-[Ivory Coast]	222070
African cassava mosaic virus-[Nigeria-Ogo]	222074
African cassava mosaic virus-[Uganda]	222075
African green monkey polyomavirus	12480
African horse sickness virus 1	33714
African horse sickness virus 2	48295
African horse sickness virus 3	117204
African horse sickness virus 4	36421
African horse sickness virus 6	86060
African horse sickness virus 7	86061
African horse sickness virus 8	86062
African horse sickness virus 9	10897
African horsesickness virus	40050
African lampeye iridovirus	127570
African swine fever virus	39014
Agalychnis annae	75990
Agalychnis callidryas	197464
Agama atra	52208
Agapanthus praecox	186128
Agaricia agaricites	89882
Agaricia fragilis	165097
Agaricus bisporus	5341
Agaricus bisporus virus 1	46339
Agaricus blazei	79798
Agarivorans sp. JA-1	413881
Agarivorans sp. JAMB-A11	266939
Agarivorans sp. QM38	411143
Agastache rugosa	39271
Agave americana	39510
Agave tequilana	386106
Agelaius phoeniceus	39638
Agelena orientalis	293813
Agelenopsis aperta	6908
Ageratina adenophora	176616
Ageratum enation virus	188333
Ageratum leaf curl disease associated sequence	169687
Ageratum leaf curl virus - [G52]	298650
Ageratum yellow vein China virus	202567
Ageratum yellow vein China virus - [G66]	298129
Ageratum yellow vein China virus - [G67]	298130
Ageratum yellow vein China virus - [G68]	298133
Ageratum yellow vein China virus - [G69]	298131
Ageratum yellow vein China virus - [G86]	298132
Ageratum yellow vein China virus - [G95]	329284
Ageratum yellow vein China virus - [G96]	329285
Ageratum yellow vein China virus - [Hn10]	298118
Ageratum yellow vein China virus - [Hn11]	298119
Ageratum yellow vein China virus - [Hn12]	298120
Ageratum yellow vein China virus - [Hn13]	298121
Ageratum yellow vein China virus - [Hn14]	298122
Ageratum yellow vein China virus - [Hn17]	298123
Ageratum yellow vein China virus - [Hn19]	298124
Ageratum yellow vein China virus - [Hn2.19]	268962
Ageratum yellow vein China virus - [Hn20]	298125
Ageratum yellow vein China virus - [Hn22]	298126
Ageratum yellow vein China virus - [Hn23]	298127
Ageratum yellow vein China virus - [Hn24]	298128
Ageratum yellow vein China virus - [Hn9]	298117
Ageratum yellow vein China virus-[Hn2]	222078
Ageratum yellow vein China virus-associated DNA beta	329288
Ageratum yellow vein Hualian virus-[Taiwan:Hsinchu:tom:2003]	437060
Ageratum yellow vein Hualian virus-[Taiwan:Hualian2:2000]	437062
Ageratum yellow vein Hualian virus-[Taiwan:Hualian4:2000]	437061
Ageratum yellow vein Sri Lanka virus	222079
Ageratum yellow vein Taiwan virus	222441
Ageratum yellow vein Taiwan virus-[TaiwanPD]	222443
Ageratum yellow vein Taiwan virus-[Taiwan]	222442
Ageratum yellow vein virus	44560
Ageratum yellow vein virus satellite DNA beta	185750
Ageratum yellow vein virus-Pakistan	346391
Ageratum yellow vein virus-[Indonesia]	292479
Ageratum yellow vein virus-[Taiwan:Taoyuan3:2000]	437064
Ageratum yellow vein virus-[Tomato2]	292474
Ageratum yellow vein virus-[Tomato3]	315357
Ageratum yellow vein virus-[Tomato]	263002
Ageratum yellow vein virus-associated DNA 1	187850
Aggregatibacter actinomycetemcomitans	714
Aggregatibacter aphrophilus	732
Aggregatibacter segnis	739
Agkistrodon contortrix	8720
Agkistrodon contortrix contortrix	8713
Agkistrodon contortrix laticinctus	37195
Agkistrodon piscivorus piscivorus	8716
Aglaothamnion neglectum	2765
Agriades glandon	374600
Agriotes lineatus	292458
Agrius convolvuli	55055
Agrobacterium luteum	285944
Agrobacterium rhizogenes	359
Agrobacterium rubi	28099
Agrobacterium sp. 31749	170406
Agrobacterium sp. ATCC 31749	82789
Agrobacterium sp. IP I-671	173261
Agrobacterium sp. KNK712	252128
Agrobacterium sp. NRCPB-10	181005
Agrobacterium tumefaciens	260551
Agrobacterium tumefaciens str. C58	176299
Agrobacterium vitis	373
Agrocybe aegerita	5400
Agrocybe chaxingu	84603
Agrocybe pediades	84607
Agromyces mediolanus	41986
Agromyces sp. KY5R	388924
Agropyron cristatum	4593
Agropyron mosaic virus	41763
Agrostis alba	29659
Agrostis stolonifera	63632
Agrostis stolonifera var. palustris	62759
Agrotis ipsilon	56364
Agrotis segetum granulovirus	10464
Agrotis segetum nucleopolyhedrovirus	31508
Aichi virus	72149
Aids-associated retrovirus	11966
Ailuropoda melanoleuca	9646
Ailurus fulgens	9649
Aino virus	11582
Aiptasia pallida	12923
Aiptasia pulchella	12924
Aipysurus eydouxii	274825
Aipysurus laevis	8678
Aix sp.	8834
Ajellomyces capsulatus	5037
Ajellomyces dermatitidis	5039
Ajuga reptans	38596
Akabane virus	70566
Akebia trifoliata	155132
Alcaligenaceae bacterium FB188	242601
Alcaligenes faecalis	511
Alcaligenes faecalis subsp. faecalis	32001
Alcaligenes sp. AL3007	206162
Alcaligenes sp. IS-46	242145
Alcaligenes sp. KUFA-1	97345
Alcaligenes sp. O-1	108557
Alcaligenes sp. SH-69	61128
Alcaligenes sp. STC1	133923
Alcaligenes sp. XY-234	118970
Alcanivorax borkumensis	59754
Alcanivorax borkumensis SK2	393595
Alcelaphine herpesvirus 1	35252
Alces alces alces	9853
Alces alces cameloides	162953
Alces alces gigas	341674
Alces alces shirasi	225176
Alcolapia grahami	87886
Alder yellows phytoplasma	72989
Alectoris rufa	9079
Aleuria aurantia	5188
Aleuroglyphus ovatus	212130
Aleutian mink disease virus	28314
Alexandrium affine	39453
Alexandrium catenella	2925
Alexandrium fundyense	2932
Alexandrium tamarense	2926
Alfalfa latent virus	165250
Alfalfa mosaic virus	12325
Alfuy virus	44017
Algoriphagus sp. KK10202C	356796
Alicyclobacillus acidocaldarius	405212
Alicyclobacillus acidocaldarius subsp. acidocaldarius	1388
Alicyclobacillus sendaiensis	192387
Alkalilimnicola ehrlichei MLHE-1	187272
Alkalimonas amylolytica	152573
Alkaliphilus metalliredigens QYMF	293826
Alkaliphilus transvaalensis	114628
Alkhurma hemorrhagic fever virus	172148
Allacma fusca	39272
Allamanda leaf curl virus	452758
Allenopithecus nigroviridis	54135
Alliaria petiolata	126270
Alligator mississippiensis	8496
Allium ampeloprasum	4681
Allium ampeloprasum var. holmense	332485
Allium cepa	4679
Allium cepa var. aggregatum	28911
Allium chinense	130426
Allium fistulosum	35875
Allium macrostemon	91198
Allium sativum	4682
Allium triquetrum	74902
Allium tuberosum	4683
Allium ursinum	4684
Allochromatium vinosum	1049
Allogromia laticollaris	71427
Allomyrina dichotoma	50413
Allpahuayo virus	144752
Alnus firma	109059
Alnus glutinosa	3517
Alocasia macrorrhizos	4456
Aloe arborescens	45385
Aloe vera	34199
Alonsoa meridionalis	106274
Alopecurus myosuroides	81473
Alopex lagopus	9610
Alopias vulpinus	7852
Alosa sapidissima	34773
Alouatta belzebul	30590
Alouatta caraya	9502
Alouatta palliata	30589
Alouatta pigra	182253
Alouatta sara	121123
Alouatta seniculus	9503
Alphavirus HBb17	139209
Alphavirus M1	97469
Alpinia hainanensis	125259
Alpinia oblongifolia	359415
Alstroemeria ligtu subsp. ligtu	208882
Alstroemeria virus x	316983
Alternanthera ficoidea	326744
Alternanthera mosaic virus	85454
Alternanthera philoxeroides	381410
Alternanthera pungens	240021
Alternanthera sessilis	221762
Alternanthera yellow vein virus	337826
Alternanthera yellow vein virus satellite DNA beta	447606
Alternaria alternata	5599
Alternaria brassicae	29911
Alternaria brassicicola	29001
Alternaria citri	135859
Alternaria longipes	160389
Alternaria solani	48100
Alternaria sp. HB186	390511
Alternaria tenuissima	119927
Alteromonas agarilytica	105692
Alteromonas sp. ATCC 43554	116059
Alteromonas sp. B-10-31	29456
Alteromonas sp. E-1	308118
Alteromonas sp. M1	29457
Alteromonas sp. O-7	29458
Alteromonas sp. TA55	203840
Alto Paraguay hantavirus	261202
Alvinella pompejana	6376
Alvinella pompejana epibiont 6C6	244799
Alvinella pompejana epibiont 7G3	244800
Alyssum lesbiacum	226033
Alyssum montanum	226036
Amanita muscaria	41956
Amapari virus	45218
Amaranthus albus	124760
Amaranthus blitum	338571
Amaranthus caudatus	3567
Amaranthus cruentus	117272
Amaranthus hybridus	3565
Amaranthus hypochondriacus	28502
Amaranthus powellii	158579
Amaranthus retroflexus	124763
Amaranthus tricolor	29722
Amaranthus tuberculatus	277990
Amaranthus viridis	56196
Amaryllis vittata	231486
Amasya cherry disease associated chrysovirus	284687
Amasya cherry disease-associated mycovirus	284689
Amblyomma americanum	6943
Amblyomma brasiliense	257691
Amblyomma cooperi	251379
Amblyomma geayi	251383
Amblyomma hebraeum	34608
Amblyomma maculatum	34609
Amblyomma rotundatum	251395
Amblyomma scutatum	251397
Amblyomma variegatum	34610
Amblyrhynchus cristatus	51208
Amborella trichopoda	13333
Ambrosia artemisiifolia	4212
Ambrosia psilostachya	29715
Ambrosia trifida	4214
Ambystoma barbouri	238860
Ambystoma maculatum	43114
Ambystoma mexicanum	8296
Ambystoma texanum	8304
Ambystoma tigrinum	8305
